PC4,Stad,Gemeente,# gemeld door,Gemeenten (gemeld),Budbee,DHL,DPD,GLS,PostNL,ViaTim,VintedGo,Pakketpunten,Automaten,Shops,Inwoners,km²,PP/km²,PP/1000 inw.,Verwacht (k=8)
1011,Amsterdam,Amsterdam,1,Amsterdam,,,,,,,,9,4,5,9940,1.0419,8.638,0.905,16.74
1012,Amsterdam,Amsterdam,2,Amsterdam,,,,,,X,,21,3,18,9105,1.1896,17.653,2.306,30.24
1013,Amsterdam,Amsterdam,2,,,,,,X,X,,17,4,13,23065,4.9303,3.651,0.78,18.93
1015,Amsterdam,Amsterdam,3,Amsterdam,,,,,X,,X,7,1,6,14750,0.7122,11.233,0.542,11.08
1016,Amsterdam,Amsterdam,3,Amsterdam,,X,,,,X,,11,1,10,11240,0.8297,13.258,0.979,22.45
1017,Amsterdam,Amsterdam,2,Amsterdam,,,,,,X,,14,8,6,13280,1.3187,10.617,1.054,18.25
1018,Amsterdam,Amsterdam,2,Amsterdam,,,,,,X,,11,8,3,23465,2.1522,5.576,0.511,18.53
1019,Amsterdam,Amsterdam,1,,,X,,,,,,11,2,9,20830,3.7657,2.921,0.528,14.33
1034,Amsterdam,Amsterdam,1,,,X,,,,,,4,0,4,14935,2.2865,1.749,0.268,9.93
1051,Amsterdam,Amsterdam,1,,,,X,,,,,14,5,9,13130,0.9697,13.406,0.99,3.64
1052,Amsterdam,Amsterdam,3,,X,X,,X,,,,6,2,4,11875,0.591,10.152,0.505,7.51
1053,Amsterdam,Amsterdam,1,,,,X,,,,,23,7,16,16335,0.7199,31.949,1.408,21.54
1054,Amsterdam,Amsterdam,2,,,,,,X,,X,10,5,5,16900,0.8868,11.276,0.592,14.16
1056,Amsterdam,Amsterdam,1,,,X,,,,,,26,5,21,20510,1.0608,23.567,1.219,8.9
1067,Amsterdam,Amsterdam,1,,,X,,,,,,15,4,11,20675,9.1158,1.536,0.677,19.79
1072,Amsterdam,Amsterdam,4,Amsterdam,X,,X,,,,X,15,3,12,13820,0.6254,23.985,1.085,12.04
1073,Amsterdam,Amsterdam,1,Amsterdam,,,,,,,,19,8,11,13260,0.5761,31.245,1.357,9.41
1074,Amsterdam,Amsterdam,1,Amsterdam,,,,,,,,1,0,1,8280,0.4207,2.377,0.121,6.77
1077,Amsterdam,Amsterdam,2,,,X,,,,,X,4,2,2,9995,1.6983,2.355,0.4,6.52
1079,Amsterdam,Amsterdam,1,,,X,,,,,,11,7,4,14425,1.4938,6.694,0.693,9.85
1095,Amsterdam,Amsterdam,1,,,X,,,,,,7,1,6,15800,3.9256,1.783,0.443,13.15
1097,Amsterdam,Amsterdam,2,,,X,,,,,X,5,3,2,15965,2.7713,1.804,0.313,13.02
1106,Amsterdam,Amsterdam,2,,X,X,,,,,,11,1,10,17830,2.8613,4.543,0.729,10.29
1107,Amsterdam,Amsterdam,1,,X,,,,,,,0,0,0,11665,1.9926,0.0,0.0,5.56
1185,Amsterdam,Amstelveen,1,,,X,,,,,,11,8,3,13120,3.2755,2.748,0.686,10.65
1401,Amsterdam,Gooise Meren,1,,X,,,,,,,3,2,1,4745,1.0554,2.843,0.632,3.87
2492,Den Haag,Den Haag,1,,,,X,,,,,7,3,4,12165,1.9761,3.542,0.575,6.13
2514,Den Haag,Wassenaar,1,,,,,,,,X,4,0,4,3895,0.7474,5.352,1.027,6.36
2521,Den Haag,Rijswijk,2,,X,,,,,,X,19,7,12,12855,1.0377,17.346,1.4,15.58
